"State, Index, Value"
NAME,26,P0120026
Alabama,26,2459548
Alaska,26,340603
Arizona,26,3216194
Arkansas,26,1484281
California,26,18736126
Colorado,26,2508534
Connecticut,26,1834483
Delaware,26,462995
District of Columbia,26,317501
Florida,26,9611955
Georgia,26,4958482
Hawaii,26,679058
Idaho,26,782258
Illinois,26,6538356
Indiana,26,3294065
Iowa,26,1538036
Kansas,26,1437710
Kentucky,26,2204415
Louisiana,26,2314080
Maine,26,678305
Maryland,26,2981790
Massachusetts,26,3381001
Michigan,26,5035526
Minnesota,26,2671793
Mississippi,26,1526057
Missouri,26,3055450
Montana,26,492748
Nebraska,26,920045
Nevada,26,1336935
New Hampshire,26,667076
New Jersey,26,4512294
New Mexico,26,1041758
New York,26,10000955
North Carolina,26,4889991
North Dakota,26,332727
Ohio,26,5904348
Oklahoma,26,1894374
Oregon,26,1935072
Pennsylvania,26,6512016
Rhode Island,26,544167
South Carolina,26,2375263
South Dakota,26,406799
Tennessee,26,3252601
Texas,26,12673281
Utah,26,1375568
Vermont,26,317535
Virginia,26,4075041
Washington,26,3374833
West Virginia,26,939408
Wisconsin,26,2864586
Wyoming,26,276189
Puerto Rico,26,1940618
NAME,27,P0120027
Alabama,27,149692
Alaska,27,26100
Arizona,27,223153
Arkansas,27,96739
California,27,1237277
Colorado,27,167599
Connecticut,27,98631
Delaware,27,27471
District of Columbia,27,16080
Florida,27,525521
Georgia,27,336112
Hawaii,27,42388
Idaho,27,59304
Illinois,27,409684
Indiana,27,212256
Iowa,27,98722
Kansas,27,100604
Kentucky,27,138188
Louisiana,27,154124
Maine,27,33753
Maryland,27,178572
Massachusetts,27,179482
Michigan,27,291699
Minnesota,27,174162
Mississippi,27,103491
Missouri,27,190709
Montana,27,30294
Nebraska,27,64278
Nevada,27,91706
New Hampshire,27,34220
New Jersey,27,264751
New Mexico,27,70903
New York,27,564943
North Carolina,27,309169
North Dakota,27,21774
Ohio,27,353377
Oklahoma,27,129426
Oregon,27,115728
Pennsylvania,27,356322
Rhode Island,27,28052
South Carolina,27,148865
South Dakota,27,29086
Tennessee,27,199694
Texas,27,944324
Utah,27,128391
Vermont,27,15613
Virginia,27,249518
Washington,27,214569
West Virginia,27,50760
Wisconsin,27,175052
Wyoming,27,19607
Puerto Rico,27,109583
NAME,28,P0120028
Alabama,28,150889
Alaska,28,24849
Arizona,28,222434
Arkansas,28,96006
California,28,1226276
Colorado,28,170821
Connecticut,28,108808
Delaware,28,27709
District of Columbia,28,12949
Florida,28,529202
Georgia,28,341252
Hawaii,28,40514
Idaho,28,59308
Illinois,28,420849
Indiana,28,217085
Iowa,28,97977
Kansas,28,99026
Kentucky,28,138029
Louisiana,28,149976
Maine,28,36035
Maryland,28,180003
Massachusetts,28,189140
Michigan,28,311639
Minnesota,28,173922
Mississippi,28,100630
Missouri,28,190872
Montana,28,29833
Nebraska,28,63040
Nevada,28,89304
New Hampshire,28,38212
New Jersey,28,276129
New Mexico,28,70572
New York,28,569593
North Carolina,28,311045
North Dakota,28,19556
Ohio,28,365248
Oklahoma,28,126418
Oregon,28,116055
Pennsylvania,28,369276
Rhode Island,28,29389
South Carolina,28,145552
South Dakota,28,26987
Tennessee,28,202091
Texas,28,944420
Utah,28,121896
Vermont,28,16800
Virginia,28,251300
Washington,28,210175
West Virginia,28,51587
Wisconsin,28,180331
Wyoming,28,18010
Puerto Rico,28,116776
NAME,29,P0120029
Alabama,29,156238
Alaska,29,24669
Arizona,29,219669
Arkansas,29,96663
California,29,1265015
Colorado,29,162462
Connecticut,29,117341
Delaware,29,27895
District of Columbia,29,12400
Florida,29,552158
Georgia,29,337107
Hawaii,29,39840
Idaho,29,56851
Illinois,29,430288
Indiana,29,221211
Iowa,29,97577
Kansas,29,96728
Kentucky,29,138341
Louisiana,29,149964
Maine,29,38518
Maryland,29,185961
Massachusetts,29,198194
Michigan,29,329658
Minnesota,29,171986
Mississippi,29,101642
Missouri,29,193712
Montana,29,29504
Nebraska,29,60020
Nevada,29,89501
New Hampshire,29,41026
New Jersey,29,287019
New Mexico,29,69670
New York,29,592213
North Carolina,29,308309
North Dakota,29,19429
Ohio,29,378547
Oklahoma,29,123404
Oregon,29,118435
Pennsylvania,29,385924
Rhode Island,29,31151
South Carolina,29,145120
South Dakota,29,26282
Tennessee,29,203902
Texas,29,919017
Utah,29,110788
Vermont,29,18286
Virginia,29,249622
Washington,29,213516
West Virginia,29,53501
Wisconsin,29,183695
Wyoming,29,17363
Puerto Rico,29,131282
NAME,30,P0120030
Alabama,30,96991
Alaska,30,15354
Arizona,30,131854
Arkansas,30,58130
California,30,809880
Colorado,30,97252
Connecticut,30,74039
Delaware,30,17855
District of Columbia,30,8497
Florida,30,348219
Georgia,30,204720
Hawaii,30,25064
Idaho,30,33362
Illinois,30,269999
Indiana,30,134640
Iowa,30,60327
Kansas,30,57952
Kentucky,30,84346
Louisiana,30,93158
Maine,30,25175
Maryland,30,118328
Massachusetts,30,126708
Michigan,30,210761
Minnesota,30,107400
Mississippi,30,64029
Missouri,30,120445
Montana,30,19023
Nebraska,30,36734
Nevada,30,54039
New Hampshire,30,26712
New Jersey,30,180838
New Mexico,30,43198
New York,30,386899
North Carolina,30,185809
North Dakota,30,12324
Ohio,30,237669
Oklahoma,30,74185
Oregon,30,72391
Pennsylvania,30,251182
Rhode Island,30,20688
South Carolina,30,90299
South Dakota,30,16343
Tennessee,30,125133
Texas,30,547814
Utah,30,62619
Vermont,30,12186
Virginia,30,156210
Washington,30,132892
West Virginia,30,32903
Wisconsin,30,114824
Wyoming,30,10646
Puerto Rico,30,83131
NAME,31,P0120031
Alabama,31,71329
Alaska,31,9608
Arizona,31,92448
Arkansas,31,41497
California,31,558978
Colorado,31,66493
Connecticut,31,47846
Delaware,31,14076
District of Columbia,31,12471
Florida,31,248876
Georgia,31,142345
Hawaii,31,16340
Idaho,31,23061
Illinois,31,178357
Indiana,31,97385
Iowa,31,45271
Kansas,31,40507
Kentucky,31,60342
Louisiana,31,67874
Maine,31,17594
Maryland,31,79664
Massachusetts,31,101168
Michigan,31,149361
Minnesota,31,71835
Mississippi,31,46445
Missouri,31,86402
Montana,31,13186
Nebraska,31,26163
Nevada,31,34488
New Hampshire,31,19140
New Jersey,31,107917
New Mexico,31,29871
New York,31,279831
North Carolina,31,135511
North Dakota,31,10524
Ohio,31,165038
Oklahoma,31,54655
Oregon,31,51792
Pennsylvania,31,191419
Rhode Island,31,19201
South Carolina,31,70440
South Dakota,31,11603
Tennessee,31,89051
Texas,31,366624
Utah,31,46744
Vermont,31,10167
Virginia,31,113253
Washington,31,91659
West Virginia,31,25330
Wisconsin,31,79582
Wyoming,31,7870
Puerto Rico,31,56275
NAME,32,P0120032
Alabama,32,36159
Alaska,32,4800
Arizona,32,45037
Arkansas,32,21121
California,32,274987
Colorado,32,33193
Connecticut,32,23274
Delaware,32,7069
District of Columbia,32,6662
Florida,32,126563
Georgia,32,70402
Hawaii,32,8616
Idaho,32,11588
Illinois,32,87309
Indiana,32,48785
Iowa,32,23076
Kansas,32,20655
Kentucky,32,30211
Louisiana,32,34429
Maine,32,8584
Maryland,32,39039
Massachusetts,32,50360
Michigan,32,73744
Minnesota,32,35501
Mississippi,32,22963
Missouri,32,42805
Montana,32,6690
Nebraska,32,13114
Nevada,32,17283
New Hampshire,32,9039
New Jersey,32,52322
New Mexico,32,14503
New York,32,143243
North Carolina,32,69191
North Dakota,32,5832
Ohio,32,81173
Oklahoma,32,27588
Oregon,32,25669
Pennsylvania,32,95278
Rhode Island,32,9892
South Carolina,32,36195
South Dakota,32,5779
Tennessee,32,44267
Texas,32,179470
Utah,32,23548
Vermont,32,5012
Virginia,32,57278
Washington,32,45177
West Virginia,32,12608
Wisconsin,32,39756
Wyoming,32,3971
Puerto Rico,32,28780
NAME,33,P0120033
Alabama,33,34370
Alaska,33,4753
Arizona,33,42944
Arkansas,33,20104
California,33,266667
Colorado,33,32127
Connecticut,33,22591
Delaware,33,6813
District of Columbia,33,6365
Florida,33,121737
Georgia,33,67821
Hawaii,33,8445
Idaho,33,10978
Illinois,33,84371
Indiana,33,46771
Iowa,33,21890
Kansas,33,19726
Kentucky,33,28939
Louisiana,33,34062
Maine,33,8130
Maryland,33,37730
Massachusetts,33,48594
Michigan,33,68527
Minnesota,33,34864
Mississippi,33,21706
Missouri,33,41464
Montana,33,6411
Nebraska,33,12452
Nevada,33,16609
New Hampshire,33,9211
New Jersey,33,51071
New Mexico,33,13847
New York,33,138298
North Carolina,33,66328
North Dakota,33,5675
Ohio,33,77869
Oklahoma,33,26304
Oregon,33,24831
Pennsylvania,33,90682
Rhode Island,33,9322
South Carolina,33,34384
South Dakota,33,5684
Tennessee,33,43282
Texas,33,174363
Utah,33,22935
Vermont,33,4648
Virginia,33,55759
Washington,33,44300
West Virginia,33,11941
Wisconsin,33,38638
Wyoming,33,3763
Puerto Rico,33,26221
NAME,34,P0120034
Alabama,34,97273
Alaska,34,15160
Arizona,34,125041
Arkansas,34,57624
California,34,783510
Colorado,34,101530
Connecticut,34,64916
Delaware,34,17492
District of Columbia,34,22282
Florida,34,353395
Georgia,34,197380
Hawaii,34,26787
Idaho,34,30861
Illinois,34,259771
Indiana,34,128202
Iowa,34,58917
Kansas,34,58623
Kentucky,34,83386
Louisiana,34,100528
Maine,34,22506
Maryland,34,117006
Massachusetts,34,140458
Michigan,34,188232
Minnesota,34,104561
Mississippi,34,60792
Missouri,34,121227
Montana,34,19098
Nebraska,34,37478
Nevada,34,52469
New Hampshire,34,23198
New Jersey,34,158415
New Mexico,34,41046
New York,34,417392
North Carolina,34,189406
North Dakota,34,15919
Ohio,34,219872
Oklahoma,34,77416
Oregon,34,74087
Pennsylvania,34,246300
Rhode Island,34,21724
South Carolina,34,93369
South Dakota,34,16470
Tennessee,34,125790
Texas,34,530893
Utah,34,66429
Vermont,34,11509
Virginia,34,165013
Washington,34,133904
West Virginia,34,32730
Wisconsin,34,111261
Wyoming,34,11269
Puerto Rico,34,75272
NAME,35,P0120035
Alabama,35,157318
Alaska,35,26112
Arizona,35,214390
Arkansas,35,95998
California,35,1335711
Colorado,35,180452
Connecticut,35,106159
Delaware,35,28884
District of Columbia,35,37482
Florida,35,584330
Georgia,35,340104
Hawaii,35,46619
Idaho,35,51916
Illinois,35,453386
Indiana,35,208719
Iowa,35,96334
Kansas,35,96706
Kentucky,35,141589
Louisiana,35,165999
Maine,35,36536
Maryland,35,199325
Massachusetts,35,223270
Michigan,35,294260
Minnesota,35,185124
Mississippi,35,100472
Missouri,35,201801
Montana,35,30988
Nebraska,35,63185
Nevada,35,96343
New Hampshire,35,36183
New Jersey,35,275364
New Mexico,35,68259
New York,35,699974
North Carolina,35,315537
North Dakota,35,23145
Ohio,35,360793
Oklahoma,35,129829
Oregon,35,131397
Pennsylvania,35,388958
Rhode Island,35,32673
South Carolina,35,152758
South Dakota,35,26612
Tennessee,35,210686
Texas,35,914073
Utah,35,111128
Vermont,35,17728
Virginia,35,280372
Washington,35,235384
West Virginia,35,53371
Wisconsin,35,182998
Wyoming,35,19524
Puerto Rico,35,125581
NAME,36,P0120036
Alabama,36,151464
Alaska,36,22845
Arizona,36,204472
Arkansas,36,91462
California,36,1269121
Colorado,36,172502
Connecticut,36,104194
Delaware,36,27405
District of Columbia,36,28479
Florida,36,555079
Georgia,36,337246
Hawaii,36,43110
Idaho,36,50025
Illinois,36,431902
Indiana,36,203102
Iowa,36,90713
Kansas,36,88602
Kentucky,36,138852
Louisiana,36,147388
Maine,36,36281
Maryland,36,189215
Massachusetts,36,205278
Michigan,36,289056
Minnesota,36,168351
Mississippi,36,95710
Missouri,36,185922
Montana,36,28532
Nebraska,36,57015
Nevada,36,92840
New Hampshire,36,36050
New Jersey,36,281296
New Mexico,36,62981
New York,36,649401
North Carolina,36,314750
North Dakota,36,19288
Ohio,36,347242
Oklahoma,36,118104
Oregon,36,127972
Pennsylvania,36,364911
Rhode Island,36,31107
South Carolina,36,144797
South Dakota,36,24234
Tennessee,36,204785
Texas,36,877547
Utah,36,105641
Vermont,36,17273
Virginia,36,264423
Washington,36,223520
West Virginia,36,55433
Wisconsin,36,171227
Wyoming,36,17454
Puerto Rico,36,128465
NAME,37,P0120037
Alabama,37,157352
Alaska,37,22102
Arizona,37,205469
Arkansas,37,92130
California,37,1282209
Colorado,37,171255
Connecticut,37,113764
Delaware,37,28270
District of Columbia,37,21478
Florida,37,593326
Georgia,37,357605
Hawaii,37,42762
Idaho,37,47696
Illinois,37,429314
Indiana,37,208104
Iowa,37,87574
Kansas,37,85288
Kentucky,37,141653
Louisiana,37,138935
Maine,37,40603
Maryland,37,195866
Massachusetts,37,214438
Michigan,37,309591
Minnesota,37,162375
Mississippi,37,96004
Missouri,37,184926
Montana,37,27220
Nebraska,37,54318
Nevada,37,93687
New Hampshire,37,41596
New Jersey,37,298981
New Mexico,37,61911
New York,37,640349
North Carolina,37,335162
North Dakota,37,17856
Ohio,37,362042
Oklahoma,37,115296
Oregon,37,123336
Pennsylvania,37,384115
Rhode Island,37,32545
South Carolina,37,150777
South Dakota,37,22490
Tennessee,37,213862
Texas,37,887448
Utah,37,87589
Vermont,37,18376
Virginia,37,271926
Washington,37,221757
West Virginia,37,58024
Wisconsin,37,170709
Wyoming,37,16159
Puerto Rico,37,125289
NAME,38,P0120038
Alabama,38,158364
Alaska,38,22495
Arizona,38,200902
Arkansas,38,91380
California,38,1295808
Colorado,38,170281
Connecticut,38,134482
Delaware,38,31368
District of Columbia,38,18598
Florida,38,629457
Georgia,38,355383
Hawaii,38,44364
Idaho,38,46816
Illinois,38,437344
Indiana,38,211685
Iowa,38,92590
Kansas,38,86525
Kentucky,38,145528
Louisiana,38,145962
Maine,38,46514
Maryland,38,217229
Massachusetts,38,240302
Michigan,38,335062
Minnesota,38,175670
Mississippi,38,95915
Missouri,38,191692
Montana,38,28522
Nebraska,38,54572
Nevada,38,92166
New Hampshire,38,49004
New Jersey,38,332215
New Mexico,38,62971
New York,38,692560
North Carolina,38,337656
North Dakota,38,18580
Ohio,38,383473
Oklahoma,38,113252
Oregon,38,122602
Pennsylvania,38,429693
Rhode Island,38,37495
South Carolina,38,155291
South Dakota,38,23138
Tennessee,38,217494
Texas,38,847930
Utah,38,75487
Vermont,38,21398
Virginia,38,288464
Washington,38,227111
West Virginia,38,59641
Wisconsin,38,188600
Wyoming,38,15956
Puerto Rico,38,127317
NAME,39,P0120039
Alabama,39,177266
Alaska,39,26328
Arizona,39,214523
Arkansas,39,104162
California,39,1347835
Colorado,39,186487
Connecticut,39,149515
Delaware,39,34792
District of Columbia,39,19005
Florida,39,709867
Georgia,39,369524
Hawaii,39,47574
Idaho,39,52014
Illinois,39,476671
Indiana,39,239066
Iowa,39,108606
Kansas,39,101631
Kentucky,39,163776
Louisiana,39,165973
Maine,39,54758
Maryland,39,239616
Massachusetts,39,263497
Michigan,39,376834
Minnesota,39,202615
Mississippi,39,107098
Missouri,39,224667
Montana,39,35787
Nebraska,39,64320
Nevada,39,94266
New Hampshire,39,57497
New Jersey,39,359903
New Mexico,39,73420
New York,39,749240
North Carolina,39,357321
North Dakota,39,22919
Ohio,39,434709
Oklahoma,39,131426
Oregon,39,132278
Pennsylvania,39,485220
Rhode Island,39,41865
South Carolina,39,170918
South Dakota,39,28566
Tennessee,39,239001
Texas,39,885604
Utah,39,77380
Vermont,39,25596
Virginia,39,316166
Washington,39,246402
West Virginia,39,67155
Wisconsin,39,219088
Wyoming,39,19759
Puerto Rico,39,132516
NAME,40,P0120040
Alabama,40,178760
Alaska,40,27012
Arizona,40,213113
Arkansas,40,102576
California,40,1296009
Colorado,40,186820
Connecticut,40,145364
Delaware,40,34285
District of Columbia,40,19050
Florida,40,690258
Georgia,40,344248
Hawaii,40,49147
Idaho,40,52971
Illinois,40,474832
Indiana,40,238931
Iowa,40,111660
Kansas,40,103394
Kentucky,40,162836
Louisiana,40,168143
Maine,40,56827
Maryland,40,229401
Massachusetts,40,255333
Michigan,40,389396
Minnesota,40,201032
Mississippi,40,107613
Missouri,40,225725
Montana,40,40064
Nebraska,40,65025
Nevada,40,90601
New Hampshire,40,56533
New Jersey,40,346545
New Mexico,40,75787
New York,40,732149
North Carolina,40,346191
North Dakota,40,24971
Ohio,40,452317
Oklahoma,40,134438
Oregon,40,141300
Pennsylvania,40,500352
Rhode Island,40,41912
South Carolina,40,169755
South Dakota,40,29538
Tennessee,40,237066
Texas,40,846936
Utah,40,76588
Vermont,40,26720
Virginia,40,304062
Washington,40,249299
West Virginia,40,72488
Wisconsin,40,217823
Wyoming,40,21655
Puerto Rico,40,129221
NAME,41,P0120041
Alabama,41,162273
Alaska,41,23577
Arizona,41,196603
Arkansas,41,95025
California,41,1134320
Colorado,41,166598
Connecticut,41,123458
Delaware,41,30669
District of Columbia,41,18280
Florida,41,633409
Georgia,41,301772
Hawaii,41,47192
Idaho,41,48902
Illinois,41,415456
Indiana,41,213258
Iowa,41,102084
Kansas,41,92322
Kentucky,41,148227
Louisiana,41,150769
Maine,41,52580
Maryland,41,198881
Massachusetts,41,224228
Michigan,41,349809
Minnesota,41,175268
Mississippi,41,97248
Missouri,41,201548
Montana,41,38080
Nebraska,41,59618
Nevada,41,83628
New Hampshire,41,48530
New Jersey,41,293437
New Mexico,41,71232
New York,41,645561
North Carolina,41,315478
North Dakota,41,22312
Ohio,41,403417
Oklahoma,41,120987
Oregon,41,140566
Pennsylvania,41,448846
Rhode Island,41,36726
South Carolina,41,160558
South Dakota,41,26786
Tennessee,41,216270
Texas,41,731649
Utah,41,67281
Vermont,41,24834
Virginia,41,266004
Washington,41,231757
West Virginia,41,70792
Wisconsin,41,193034
Wyoming,41,20018
Puerto Rico,41,121345
NAME,42,P0120042
Alabama,42,60731
Alaska,42,7587
Arizona,42,75695
Arkansas,42,36130
California,42,408232
Colorado,42,58889
Connecticut,42,44040
Delaware,42,11473
District of Columbia,42,7052
Florida,42,243468
Georgia,42,110602
Hawaii,42,17760
Idaho,42,17689
Illinois,42,147327
Indiana,42,77317
Iowa,42,36167
Kansas,42,31958
Kentucky,42,54748
Louisiana,42,53721
Maine,42,19225
Maryland,42,71337
Massachusetts,42,81800
Michigan,42,125139
Minnesota,42,60810
Mississippi,42,35233
Missouri,42,73278
Montana,42,13311
Nebraska,42,21051
Nevada,42,31814
New Hampshire,42,17518
New Jersey,42,105685
New Mexico,42,26207
New York,42,239946
North Carolina,42,117103
North Dakota,42,7493
Ohio,42,147057
Oklahoma,42,44203
Oregon,42,51316
Pennsylvania,42,161482
Rhode Island,42,12929
South Carolina,42,60754
South Dakota,42,9370
Tennessee,42,80861
Texas,42,259433
Utah,42,23533
Vermont,42,8787
Virginia,42,97043
Washington,42,82860
West Virginia,42,27349
Wisconsin,42,67845
Wyoming,42,6785
Puerto Rico,42,47277
NAME,43,P0120043
Alabama,43,83793
Alaska,43,9120
Arizona,43,108311
Arkansas,43,50545
California,43,544794
Colorado,43,78002
Connecticut,43,62316
Delaware,43,16724
District of Columbia,43,9253
Florida,43,357914
Georgia,43,150854
Hawaii,43,23583
Idaho,43,24085
Illinois,43,199199
Indiana,43,104332
Iowa,43,48940
Kansas,43,43279
Kentucky,43,74993
Louisiana,43,72507
Maine,43,26074
Maryland,43,96501
Massachusetts,43,112452
Michigan,43,168412
Minnesota,43,81205
Mississippi,43,48412
Missouri,43,100495
Montana,43,17508
Nebraska,43,27388
Nevada,43,44819
New Hampshire,43,24183
New Jersey,43,147847
New Mexico,43,35729
New York,43,325955
North Carolina,43,165902
North Dakota,43,10080
Ohio,43,197931
Oklahoma,43,61709
Oregon,43,69618
Pennsylvania,43,223806
Rhode Island,43,18057
South Carolina,43,87039
South Dakota,43,12103
Tennessee,43,111939
Texas,43,349514
Utah,43,31174
Vermont,43,11838
Virginia,43,133013
Washington,43,112849
West Virginia,43,36057
Wisconsin,43,90224
Wyoming,43,8904
Puerto Rico,43,70710
NAME,44,P0120044
Alabama,44,47320
Alaska,44,4736
Arizona,44,62902
Arkansas,44,29782
California,44,300544
Colorado,44,41252
Connecticut,44,33675
Delaware,44,9339
District of Columbia,44,5157
Florida,44,211263
Georgia,44,82057
Hawaii,44,13826
Idaho,44,13848
Illinois,44,108567
Indiana,44,57537
Iowa,44,27069
Kansas,44,24156
Kentucky,44,41090
Louisiana,44,40491
Maine,44,14435
Maryland,44,52506
Massachusetts,44,60898
Michigan,44,92126
Minnesota,44,44269
Mississippi,44,27099
Missouri,44,57028
Montana,44,9767
Nebraska,44,15089
Nevada,44,25399
New Hampshire,44,12494
New Jersey,44,79469
New Mexico,44,19888
New York,44,178609
North Carolina,44,91773
North Dakota,44,5633
Ohio,44,104629
Oklahoma,44,36079
Oregon,44,37941
Pennsylvania,44,122310
Rhode Island,44,9738
South Carolina,44,48331
South Dakota,44,7027
Tennessee,44,62602
Texas,44,195907
Utah,44,18005
Vermont,44,6514
Virginia,44,72595
Washington,44,61625
West Virginia,44,19590
Wisconsin,44,49354
Wyoming,44,4976
Puerto Rico,44,40778
NAME,45,P0120045
Alabama,45,64424
Alaska,45,5752
Arizona,45,86365
Arkansas,45,40656
California,45,392790
Colorado,45,53506
Connecticut,45,45348
Delaware,45,13024
District of Columbia,45,6726
Florida,45,299777
Georgia,45,107600
Hawaii,45,16495
Idaho,45,18432
Illinois,45,150599
Indiana,45,79430
Iowa,45,37654
Kansas,45,32332
Kentucky,45,56885
Louisiana,45,54744
Maine,45,19147
Maryland,45,69217
Massachusetts,45,80434
Michigan,45,127238
Minnesota,45,60768
Mississippi,45,37224
Missouri,45,78786
Montana,45,13334
Nebraska,45,20689
Nevada,45,33464
New Hampshire,45,16756
New Jersey,45,109899
New Mexico,45,26040
New York,45,242347
North Carolina,45,123126
North Dakota,45,7493
Ohio,45,150438
Oklahoma,45,48034
Oregon,45,49976
Pennsylvania,45,172039
Rhode Island,45,13065
South Carolina,45,65503
South Dakota,45,9353
Tennessee,45,84797
Texas,45,253924
Utah,45,23516
Vermont,45,8490
Virginia,45,96429
Washington,45,77785
West Virginia,45,27600
Wisconsin,45,68507
Wyoming,45,6443
Puerto Rico,45,54455
NAME,46,P0120046
Alabama,46,88721
Alaska,46,6486
Arizona,46,112398
Arkansas,46,54026
California,46,528376
Colorado,46,67695
Connecticut,46,58332
Delaware,46,16505
District of Columbia,46,8810
Florida,46,410799
Georgia,46,137709
Hawaii,46,22213
Idaho,46,23458
Illinois,46,201070
Indiana,46,105188
Iowa,46,54151
Kansas,46,44521
Kentucky,46,75762
Louisiana,46,73508
Maine,46,25403
Maryland,46,87603
Massachusetts,46,106210
Michigan,46,165309
Minnesota,46,81017
Mississippi,46,51718
Missouri,46,104684
Montana,46,17380
Nebraska,46,29184
Nevada,46,41810
New Hampshire,46,20888
New Jersey,46,144796
New Mexico,46,35025
New York,46,328775
North Carolina,46,161522
North Dakota,46,11210
Ohio,46,204228
Oklahoma,46,65239
Oregon,46,63074
Pennsylvania,46,234349
Rhode Island,46,17272
South Carolina,46,83142
South Dakota,46,13619
Tennessee,46,112424
Texas,46,335291
Utah,46,31067
Vermont,46,10614
Virginia,46,124325
Washington,46,97986
West Virginia,46,38434
Wisconsin,46,92400
Wyoming,46,8468
Puerto Rico,46,74520
NAME,47,P0120047
Alabama,47,70909
Alaska,47,4742
Arizona,47,86040
Arkansas,47,43812
California,47,429797
Colorado,47,53452
Connecticut,47,51344
Delaware,47,13229
District of Columbia,47,7038
Florida,47,335427
Georgia,47,105579
Hawaii,47,19735
Idaho,47,18318
Illinois,47,166679
Indiana,47,87068
Iowa,47,47275
Kansas,47,39264
Kentucky,47,60305
Louisiana,47,59640
Maine,47,21556
Maryland,47,71513
Massachusetts,47,93661
Michigan,47,139165
Minnesota,47,67650
Mississippi,47,40963
Missouri,47,87765
Montana,47,13650
Nebraska,47,26229
Nevada,47,29880
New Hampshire,47,17463
New Jersey,47,125417
New Mexico,47,27347
New York,47,274758
North Carolina,47,128674
North Dakota,47,10243
Ohio,47,170813
Oklahoma,47,53661
Oregon,47,50348
Pennsylvania,47,208442
Rhode Island,47,15426
South Carolina,47,63954
South Dakota,47,12249
Tennessee,47,88880
Texas,47,268715
Utah,47,24790
Vermont,47,8852
Virginia,47,98618
Washington,47,77743
West Virginia,47,31470
Wisconsin,47,79071
Wyoming,47,6788
Puerto Rico,47,57115
NAME,48,P0120048
Alabama,48,55087
Alaska,48,3365
Arizona,48,66769
Arkansas,48,33845
California,48,357837
Colorado,48,43371
Connecticut,48,47096
Delaware,48,10018
District of Columbia,48,6189
Florida,48,276098
Georgia,48,80548
Hawaii,48,17798
Idaho,48,14541
Illinois,48,143362
Indiana,48,74368
Iowa,48,42155
Kansas,48,33914
Kentucky,48,48201
Louisiana,48,47396
Maine,48,18274
Maryland,48,60161
Massachusetts,48,84922
Michigan,48,120220
Minnesota,48,59051
Mississippi,48,32337
Missouri,48,71574
Montana,48,11561
Nebraska,48,22565
Nevada,48,21649
New Hampshire,48,14913
New Jersey,48,109704
New Mexico,48,20734
New York,48,240667
North Carolina,48,101823
North Dakota,48,9234
Ohio,48,148383
Oklahoma,48,41235
Oregon,48,43159
Pennsylvania,48,190830
Rhode Island,48,15345
South Carolina,48,48156
South Dakota,48,10551
Tennessee,48,68843
Texas,48,208177
Utah,48,19358
Vermont,48,7600
Virginia,48,79691
Washington,48,65375
West Virginia,48,26139
Wisconsin,48,69512
Wyoming,48,5252
Puerto Rico,48,39418
NAME,49,P0120049
Alabama,49,52825
Alaska,49,3051
Arizona,49,65662
Arkansas,49,34868
California,49,390153
Colorado,49,46495
Connecticut,49,57950
Delaware,49,10630
District of Columbia,49,7198
Florida,49,275812
Georgia,49,80512
Hawaii,49,18886
Idaho,49,16234
Illinois,49,162020
Indiana,49,79625
Iowa,49,51307
Kansas,49,39997
Kentucky,49,48188
Louisiana,49,44789
Maine,49,19797
Maryland,49,67116
Massachusetts,49,100174
Michigan,49,130288
Minnesota,49,72357
Mississippi,49,31313
Missouri,49,77923
Montana,49,13005
Nebraska,49,26518
Nevada,49,19170
New Hampshire,49,16710
New Jersey,49,123274
New Mexico,49,20617
New York,49,268252
North Carolina,49,103205
North Dakota,49,11237
Ohio,49,158083
Oklahoma,49,41486
Oregon,49,51201
Pennsylvania,49,210280
Rhode Island,49,18593
South Carolina,49,49306
South Dakota,49,12929
Tennessee,49,69881
Texas,49,204208
Utah,49,19681
Vermont,49,8694
Virginia,49,83957
Washington,49,77188
West Virginia,49,24505
Wisconsin,49,81055
Wyoming,49,5549
Puerto Rico,49,39291
