"State, Index, Value"
New York,6,406797
North Carolina,6,196737
North Dakota,6,13086
Ohio,6,249638
Oklahoma,6,78355
Oregon,6,76739
Pennsylvania,6,266649
Rhode Island,6,21556
South Carolina,6,94739
South Dakota,6,17342
Tennessee,6,131933
Texas,6,579420
Utah,6,66961
Vermont,6,12804
Virginia,6,164747
Washington,6,140695
West Virginia,6,35394
Wisconsin,6,121681
Wyoming,6,11385
Puerto Rico,6,86833
NAME,7,P0120007
Alabama,7,72524
Alaska,7,10854
Arizona,7,98179
Arkansas,7,42958
California,7,598024
Colorado,7,72590
Connecticut,7,50915
Delaware,7,13962
District of Columbia,7,10434
Florida,7,262023
Georgia,7,147732
Hawaii,7,18143
Idaho,7,23148
Illinois,7,188986
Indiana,7,100899
Iowa,7,47246
Kansas,7,43198
Kentucky,7,62491
Louisiana,7,68348
Maine,7,18832
Maryland,7,83998
Massachusetts,7,101052
Michigan,7,155456
Minnesota,7,75313
Mississippi,7,47495
Missouri,7,89573
Montana,7,14287
Nebraska,7,27088
Nevada,7,36832
New Hampshire,7,19428
New Jersey,7,118073
New Mexico,7,31298
New York,7,292751
North Carolina,7,141534
North Dakota,7,11540
Ohio,7,171337
Oklahoma,7,57289
Oregon,7,53938
Pennsylvania,7,195816
Rhode Island,7,18601
South Carolina,7,73511
South Dakota,7,12340
Tennessee,7,91069
Texas,7,389266
Utah,7,44766
Vermont,7,10855
Virginia,7,116755
Washington,7,96882
West Virginia,7,26465
Wisconsin,7,83122
Wyoming,7,8241
Puerto Rico,7,58020
NAME,8,P0120008
Alabama,8,36159
Alaska,8,5828
Arizona,8,48719
Arkansas,8,21649
California,8,298655
Colorado,8,36244
Connecticut,8,24865
Delaware,8,6972
District of Columbia,8,5854
Florida,8,131467
Georgia,8,73069
Hawaii,8,9872
Idaho,8,10616
Illinois,8,92304
Indiana,8,50209
Iowa,8,24151
Kansas,8,22103
Kentucky,8,31057
Louisiana,8,33822
Maine,8,8824
Maryland,8,41974
Massachusetts,8,50888
Michigan,8,75606
Minnesota,8,37231
Mississippi,8,22835
Missouri,8,43723
Montana,8,7099
Nebraska,8,13766
Nevada,8,18271
New Hampshire,8,9552
New Jersey,8,56438
New Mexico,8,15432
New York,8,149840
North Carolina,8,71885
North Dakota,8,6652
Ohio,8,82813
Oklahoma,8,28480
Oregon,8,26793
Pennsylvania,8,96664
Rhode Island,8,9645
South Carolina,8,37651
South Dakota,8,6128
Tennessee,8,45113
Texas,8,189570
Utah,8,18656
Vermont,8,5421
Virginia,8,60167
Washington,8,48909
West Virginia,8,13265
Wisconsin,8,41007
Wyoming,8,4406
Puerto Rico,8,29425
NAME,9,P0120009
Alabama,9,34103
Alaska,9,5824
Arizona,9,46398
Arkansas,9,20666
California,9,289108
Colorado,9,35258
Connecticut,9,23744
Delaware,9,6559
District of Columbia,9,5412
Florida,9,126865
Georgia,9,69430
Hawaii,9,10408
Idaho,9,10798
Illinois,9,88424
Indiana,9,47542
Iowa,9,22805
Kansas,9,21205
Kentucky,9,29718
Louisiana,9,33701
Maine,9,8436
Maryland,9,39735
Massachusetts,9,47778
Michigan,9,69957
Minnesota,9,35730
Mississippi,9,21769
Missouri,9,42047
Montana,9,7106
Nebraska,9,13227
Nevada,9,17649
New Hampshire,9,9145
New Jersey,9,55148
New Mexico,9,14390
New York,9,143298
North Carolina,9,69841
North Dakota,9,6332
Ohio,9,79176
Oklahoma,9,27728
Oregon,9,25744
Pennsylvania,9,92575
Rhode Island,9,9186
South Carolina,9,35316
South Dakota,9,6055
Tennessee,9,43074
Texas,9,184652
Utah,9,22238
Vermont,9,5003
Virginia,9,59159
Washington,9,47583
West Virginia,9,12364
Wisconsin,9,39578
Wyoming,9,4211
Puerto Rico,9,26883
NAME,10,P0120010
Alabama,10,97258
Alaska,10,18054
Arizona,10,134445
Arkansas,10,58486
California,10,853022
Colorado,10,110263
Connecticut,10,68508
Delaware,10,17962
District of Columbia,10,17535
Florida,10,368731
Georgia,10,201978
Hawaii,10,31701
Idaho,10,33368
Illinois,10,266785
Indiana,10,130517
Iowa,10,62511
Kansas,10,62142
Kentucky,10,86657
Louisiana,10,101767
Maine,10,23166
Maryland,10,118214
Massachusetts,10,137590
Michigan,10,193006
Minnesota,10,107764
Mississippi,10,60829
Missouri,10,122023
Montana,10,20734
Nebraska,10,39239
Nevada,10,55228
New Hampshire,10,24401
New Jersey,10,167844
New Mexico,10,43152
New York,10,418864
North Carolina,10,194922
North Dakota,10,18546
Ohio,10,222213
Oklahoma,10,81726
Oregon,10,75924
Pennsylvania,10,252647
Rhode Island,10,22398
South Carolina,10,95579
South Dakota,10,17480
Tennessee,10,124718
Texas,10,558131
Utah,10,72713
Vermont,10,12258
Virginia,10,174715
Washington,10,141639
West Virginia,10,34296
Wisconsin,10,116312
Wyoming,10,12698
Puerto Rico,10,74269
NAME,11,P0120011
Alabama,11,153716
Alaska,11,29307
Arizona,11,225608
Arkansas,11,96155
California,11,1408698
Colorado,11,192007
Connecticut,11,107986
Delaware,11,28719
District of Columbia,11,32167
Florida,11,594897
Georgia,11,333831
Hawaii,11,50683
Idaho,11,54818
Illinois,11,456887
Indiana,11,210811
Iowa,11,101509
Kansas,11,101077
Kentucky,11,143707
Louisiana,11,166926
Maine,11,36145
Maryland,11,194223
Massachusetts,11,218255
Michigan,11,295323
Minnesota,11,187562
Mississippi,11,98610
Missouri,11,201438
Montana,11,33135
Nebraska,11,65891
Nevada,11,100301
New Hampshire,11,36938
New Jersey,11,277775
New Mexico,11,71419
New York,11,680203
North Carolina,11,311499
North Dakota,11,26451
Ohio,11,357837
Oklahoma,11,135908
Oregon,11,133636
Pennsylvania,11,392569
Rhode Island,11,33126
South Carolina,11,151620
South Dakota,11,28958
Tennessee,11,206997
Texas,11,938966
Utah,11,118426
Vermont,11,17713
Virginia,11,283970
Washington,11,245014
West Virginia,11,55073
Wisconsin,11,189349
Wyoming,11,21752
Puerto Rico,11,118578
NAME,12,P0120012
Alabama,12,146424
Alaska,12,24861
Arizona,12,212223
Arkansas,12,92277
California,12,1304347
Colorado,12,181317
Connecticut,12,102038
Delaware,12,26409
District of Columbia,12,26617
Florida,12,555239
Georgia,12,324379
Hawaii,12,44921
Idaho,12,52206
Illinois,12,433782
Indiana,12,204713
Iowa,12,94027
Kansas,12,91335
Kentucky,12,142068
Louisiana,12,148120
Maine,12,35662
Maryland,12,179279
Massachusetts,12,198338
Michigan,12,285510
Minnesota,12,174549
Mississippi,12,92461
Missouri,12,186306
Montana,12,30209
Nebraska,12,59085
Nevada,12,97802
New Hampshire,12,35301
New Jersey,12,275366
New Mexico,12,64586
New York,12,629759
North Carolina,12,304807
North Dakota,12,21601
Ohio,12,344087
Oklahoma,12,122914
Oregon,12,131139
Pennsylvania,12,364681
Rhode Island,12,30056
South Carolina,12,142881
South Dakota,12,25625
Tennessee,12,201529
Texas,12,882887
Utah,12,110492
Vermont,12,16908
Virginia,12,261654
Washington,12,229863
West Virginia,12,56821
Wisconsin,12,178120
Wyoming,12,18919
Puerto Rico,12,119708
NAME,13,P0120013
Alabama,13,151078
Alaska,13,23731
Arizona,13,210224
Arkansas,13,91484
California,13,1291370
Colorado,13,182350
Connecticut,13,108637
Delaware,13,27059
District of Columbia,13,21447
Florida,13,585141
Georgia,13,340454
Hawaii,13,43994
Idaho,13,49149
Illinois,13,426476
Indiana,13,208907
Iowa,13,89574
Kansas,13,87100
Kentucky,13,143758
Louisiana,13,137544
Maine,13,39302
Maryland,13,181543
Massachusetts,13,203757
Michigan,13,302902
Minnesota,13,165815
Mississippi,13,91364
Missouri,13,183144
Montana,13,28355
Nebraska,13,56043
Nevada,13,97965
New Hampshire,13,40556
New Jersey,13,289398
New Mexico,13,61392
New York,13,613775
North Carolina,13,324681
North Dakota,13,19209
Ohio,13,356420
Oklahoma,13,117446
Oregon,13,127827
Pennsylvania,13,380172
Rhode Island,13,31185
South Carolina,13,145905
South Dakota,13,23276
Tennessee,13,209760
Texas,13,876139
Utah,13,90812
Vermont,13,17982
Virginia,13,268137
Washington,13,226850
West Virginia,13,59112
Wisconsin,13,174619
Wyoming,13,17702
Puerto Rico,13,115981
NAME,14,P0120014
Alabama,14,152707
Alaska,14,24646
Arizona,14,205899
Arkansas,14,91214
California,14,1313323
Colorado,14,175758
Connecticut,14,127555
Delaware,14,29390
District of Columbia,14,19136
Florida,14,623330
Georgia,14,344098
Hawaii,14,45253
Idaho,14,47948
Illinois,14,432756
Indiana,14,212134
Iowa,14,94810
Kansas,14,87760
Kentucky,14,145723
Louisiana,14,142158
Maine,14,44957
Maryland,14,200934
Massachusetts,14,228652
Michigan,14,330419
Minnesota,14,177234
Mississippi,14,91664
Missouri,14,188854
Montana,14,28848
Nebraska,14,55905
Nevada,14,99225
New Hampshire,14,48022
New Jersey,14,317703
New Mexico,14,62249
New York,14,663333
North Carolina,14,329652
North Dakota,14,19617
Ohio,14,377896
Oklahoma,14,114943
Oregon,14,125760
Pennsylvania,14,421689
Rhode Island,14,35635
South Carolina,14,149319
South Dakota,14,24208
Tennessee,14,213014
Texas,14,846865
